ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence
1704292200126430445,1704292200126232729,0,1,17077,T,B,0,4764250000000,2,0,15843,8559514
1704292200126627666,1704292200126449475,0,1,17077,T,B,0,4764250000000,1,0,15380,8559518
1704292200127481579,1704292200127290287,0,1,17077,T,B,0,4764250000000,1,0,15470,8559521
1704292200133392038,1704292200133213143,0,1,17077,T,A,0,4764250000000,1,0,15365,8559551
1704292200133553928,1704292200133372637,0,1,17077,T,B,0,4764500000000,1,0,15468,8559553
1704292200137724598,1704292200137526717,0,1,17077,T,B,0,4764500000000,5,0,15373,8559585
1704292200143725060,1704292200143543115,0,1,17077,T,A,0,4764250000000,1,0,16657,8559612
1704292200144074863,1704292200143901029,0,1,17077,T,B,0,4764500000000,1,0,15079,8559614
1704292200144429135,1704292200144196525,0,1,17077,T,A,0,4764250000000,3,0,15656,8559617
1704292200168456133,1704292200168258417,0,1,17077,T,B,0,4764500000000,1,0,15779,8559648
1704292200170964171,1704292200170760353,0,1,17077,T,B,0,4764500000000,1,0,15201,8559657
1704292200176357910,1704292200176177845,0,1,17077,T,B,0,4764500000000,1,0,15894,8559661
1704292200177197564,1704292200177024319,0,1,17077,T,B,0,4764500000000,1,0,16145,8559668
1704292200182071291,1704292200181871605,0,1,17077,T,B,0,4764500000000,7,0,16947,8559674
1704292200183091169,1704292200182903523,0,1,17077,T,A,0,4764250000000,1,0,15372,8559693
1704292200199386508,1704292200199194027,0,1,17077,T,A,0,4764250000000,1,0,15316,8559751
1704292200203949051,1704292200203764715,0,1,17077,T,A,0,4764250000000,1,0,15963,8559756
1704292200203996041,1704292200203787211,0,1,17077,T,A,0,4764250000000,1,0,13785,8559757
1704292200204066035,1704292200203812593,0,1,17077,T,A,0,4764250000000,1,0,15533,8559758
1704292200204104290,1704292200203838609,0,1,17077,T,A,0,4764250000000,1,0,15036,8559759
1704292200204177826,1704292200203975169,0,1,17077,T,A,0,4764250000000,5,0,15443,8559760
1704292200205734279,1704292200205396117,0,1,17077,T,B,0,4764500000000,17,0,16217,8559763
1704292200208885871,1704292200208632287,0,1,17077,T,B,0,4764500000000,9,0,15832,8559798
1704292200220108653,1704292200219880983,0,1,17077,T,B,0,4764500000000,4,0,15583,8559818
1704292200226426678,1704292200226205471,0,1,17077,T,A,0,4764250000000,4,0,15517,8559856
1704292200227914504,1704292200227728095,0,1,17077,T,A,0,4764250000000,4,0,15331,8559866
1704292200230201835,1704292200229879681,0,1,17077,T,B,0,4764500000000,17,0,15974,8559872
1704292200254885935,1704292200254518511,0,1,17077,T,B,0,4764500000000,17,0,16452,8559959
1704292200255109918,1704292200254850725,0,1,17077,T,B,0,4764500000000,10,0,17968,8559962
1704292200255195987,1704292200254850917,0,1,17077,T,B,0,4764500000000,2,0,15487,8559963
1704292200255195987,1704292200254851101,0,1,17077,T,B,0,4764500000000,1,0,15487,8559963
1704292200255195987,1704292200254851357,0,1,17077,T,B,0,4764500000000,1,0,15487,8559963
1704292200255253637,1704292200254868491,0,1,17077,T,B,0,4764500000000,1,0,17090,8559964
1704292200255333112,1704292200254980417,0,1,17077,T,B,0,4764500000000,1,0,14126,8559965
1704292200255638884,1704292200255370781,0,1,17077,T,A,0,4764500000000,10,0,15797,8559977
1704292200255835773,1704292200255616703,0,1,17077,T,A,0,4764500000000,3,0,15498,8559983
1704292200255905162,1704292200255668977,0,1,17077,T,B,0,4764500000000,1,0,16690,8559984
1704292200256052475,1704292200255849825,0,1,17077,T,B,0,4764500000000,2,0,15483,8559989
1704292200256193378,1704292200256018391,0,1,17077,T,B,0,4764500000000,1,0,16260,8559992
1704292200256275275,1704292200256021853,0,1,17077,T,B,0,4764500000000,4,0,14069,8559993
1704292200256550984,1704292200256359051,0,1,17077,T,A,0,4764500000000,1,0,15258,8560003
1704292200256620886,1704292200256372339,0,1,17077,T,A,0,4764500000000,1,0,15415,8560004
1704292200256620886,1704292200256378763,0,1,17077,T,A,0,4764500000000,1,0,15415,8560004
1704292200256792621,1704292200256623865,0,1,17077,T,A,0,4764500000000,2,0,15686,8560006
